batch	sample.id	num.reads	num.spiked.reads	pct.spiked.reads	pct.unspiked.reads
DNA160609LC	S1	686374	680413	99.1315230472017	0.868476952798304
DNA160609LC	S10	1078247	1072110	99.4308354208266	0.569164579173403
DNA160609LC	S11	1916805	1906327	99.4533611921922	0.546638807807796
DNA160609LC	S12	1011097	1005399	99.4364536735842	0.563546326415803
DNA160609LC	S13	768413	763504	99.3611508394574	0.638849160542605
DNA160609LC	S14	508421	504436	99.2162007470187	0.783799252981296
DNA160609LC	S15	925440	919145	99.31978302213	0.680216977870003
DNA160609LC	S16	716742	711713	99.2983528243078	0.701647175692202
DNA160609LC	S17	572435	568063	99.2362451632063	0.763754836793694
DNA160609LC	S18	914924	908939	99.3458473053499	0.654152694650094
DNA160609LC	S19	723413	718989	99.38845445133	0.611545548669994
DNA160609LC	S2	1209673	1200647	99.2538479407245	0.746152059275502
DNA160609LC	S20	1169669	1163698	99.4895137000297	0.510486299970296
DNA160609LC	S3	865117	859639	99.3667908502549	0.633209149745099
DNA160609LC	S4	1095477	1088957	99.4048254778512	0.595174522148795
DNA160609LC	S5	1445022	1436461	99.4075522725606	0.592447727439406
DNA160609LC	S6	1100437	1093733	99.3907874780655	0.609212521934495
DNA160609LC	S7	1433990	1425387	99.4000655513637	0.599934448636304
DNA160609LC	S8	1864230	1855464	99.5297790508682	0.4702209491318
DNA160609LC	S9	1328501	1320599	99.4051942753524	0.5948057246476
